RY,ToU,U,ORoRS,ORoCIS,ORoSR,ORoAOS,ASforR,ASforCI,ASforSR,ASforAO,ANoCR,ANoCCI,ANoCSR,ANoCAO
2015,Municipal Electric,Auburn,232546,0,0,12494,1646.39,0,0,103.25,175,0,0,10
2015,Investor Owned Electric,Interstate Power and Light Company,521115322,846803408,74454294,11626180,3661188,10691600,1779026,53530,408969,78348,6,1040
2015,Investor Owned Electric,MidAmerican Energy Company,535517779,792025980,158876153,96997319,5490294,14032377,7907806,1399758,568142,81892,5,12764
2015,Investor Owned Electric,Amana Society Service Company,894691,6971861,0,76411,7095.91,84452.11,0,853.85,714,302,0,24
2015,Municipal Electric,Bloomfield,1647288,1503769,0,86996,11501.42,14118.17,0,1328.69,1123,268,0,1
2015,Municipal Electric,Cascade,870609,793527,0,208537,7508.28,8196.97,0,2101.8,926,157,0,33
2015,Municipal Electric,Cedar Falls,15505965,18393068,8807738,3672614,161005.6,256703.63,389971.84,62385.33,16596,2176,0,167
2015,Municipal Electric,Coon Rapids,717193,442755,1114829,303006,6752.57,3291.45,25817.01,2901.88,607,141,1,48
2015,Municipal Electric,Corning,792311,487040,0,631463,7797.91,4707.6,0,6669.46,761,229,0,64
2015,Municipal Electric,Graettinger,474733,396870,311711,18814,5043.89,4340.83,4222.62,195.27,431,91,0,12
2015,Municipal Electric,Harlan,2902669,3064081,279739,277083,23725.02,32349.1,13405.36,3283.48,2329,456,0,76
2015,Municipal Electric,Hawarden,1030757,907985,0,250601,11375.68,10028.5,0,3944.47,1024,192,0,75
2015,Municipal Electric,Lamoni,910788,1261911,0,193916,8048.15,12322.97,0,1980.45,947,139,0,39
2015,Municipal Electric,Manilla,391109,128399,0,76588,4549.49,1677.72,0,838.84,395,65,0,23
2015,Municipal Electric,Manning,699413,1740823,0,170184,7227.76,27669.99,0,2045.62,690,158,0,33
2015,Municipal Electric,Osage  ,1610087,3836711,0,111191,14723.33,39201.47,0,1004.94,1822,316,0,189
2015,Municipal Electric,Remsen  ,747132,771139,0,699,8312.19,6988.52,0,4.57,688,174,0,2
2015,Municipal Electric,Sanborn  ,699995,1401646,0,75863,6575.18,15959.33,0,679,570,138,0,25
2015,Municipal Electric,Sioux Center,2443123,6851186,0,640523,26244.74,88499.15,0,6668.88,2206,417,0,55
2015,Municipal Electric,Tipton  ,1145793,1730594,0,121313,11240.32,19444.58,0,1086.21,1408,44,0,21
2015,Municipal Electric,West Bend,685708,799717,0,42363,6828.93,9270.55,0,434.47,465,129,0,18
2015,Municipal Electric,Whittemore,344392,253100,0,44701,2648.68,1493.49,0,422.12,250,58,0,13
2015,Municipal Electric,Woodbine  ,795322,404492,0,271864,7987.75,4479.76,0,3113.36,739,142,0,37
2015,Municipal Electric,Lenox,791319,627012,0,316929,7073.85,6134.51,0,3344.38,615,124,0,16
2015,Municipal Electric,Montezuma,655545,1631831,7745,85569,6660.37,19854.21,243.69,896.11,692,162,0,98
2015,Municipal Electric,Preston  ,610214,448180,0,99417,4043.83,2950.5,0,645.75,440,105,0,42
2015,Municipal Electric,Sabula  ,345934,120333,0,54879,2230.58,724,0,296.41,354,71,0,15
2015,Municipal Electric,Brooklyn,739147,477838,0,56526,6782.32,4436.62,0,724.65,684,113,0,2
2015,Municipal Electric,Lake Park,596542,705870,0,82267,4903.94,6669.42,0,751.67,584,107,0,30
2015,Municipal Electric,Rock Rapids  ,1116493,1007322,0,116108,12406.83,13375,0,1548.18,1107,222,0,34
2015,Municipal Electric,Fairbank,488399,202214,0,91729,4419.07,2013.21,0,848.74,479,64,0,12
2015,Municipal Electric,Hartley,892785,760251,0,26080,10268.73,8518.64,0,345.35,792,124,0,9
2015,Municipal Electric,Afton,463750,318450,0,22029,3515.63,2610.46,0,162.46,410,80,0,19
2015,Municipal Electric,Akron,700652,705404,0,80449,7774.03,6783.54,0,714.07,692,132,0,27
2015,Municipal Electric,Algona,3700274,6195012,2917152,230248,29240.25,81311.48,81728.73,4852.37,3035,689,0,0
2015,Municipal Electric,Alta,978290,501365,0,223428,9686.45,4390.65,0,2551.04,832,112,0,45
2015,Municipal Electric,Alta Vista,152620,53365,0,3624,1260.5,461.61,0,44.97,134,29,0,9
2015,Municipal Electric,Ames,18158488,31537928,0,4627542,161502.36,376014.13,0,95053.41,22810,2764,0,125
2015,Municipal Electric,Anita,430585,275215,0,74949,4694.11,3175.04,0,867.59,500,129,0,7
2015,Municipal Electric,Anthon,422855,182165,0,19681,4043.44,1814.98,0,269.34,295,51,0,12
2015,Municipal Electric,Aplington,464018,171453,0,37253,4419.7,1801.53,0,467.89,465,63,0,3
2015,Municipal Electric,Atlantic,3268249,4334204,620463,453428,39414.98,62495.37,24843.45,5437.87,3797,736,1,84
2015,Municipal Electric,Bancroft,337085,819176,290193,73826,3274.3,8584.8,3696.22,882.56,398,219,1,25
2015,Municipal Electric,Bellevue,1248203,922962,0,290131,8843.64,7567.93,0,2846.04,1338,170,0,254
2015,Municipal Electric,Breda,363807,186346,0,0,2446.26,1966.58,0,101.18,224,73,0,5
2015,Municipal Electric,Buffalo,386228,110018,0,44811,3597.94,1081.58,0,983.68,423,28,0,25
2015,Municipal Electric,Burt,251843,73189,0,82874,2114.82,544.46,0,784.16,225,41,0,17
2015,Municipal Electric,Callender,182829,0,0,16399,1480.14,0,0,135.71,172,0,0,1
2015,Municipal Electric,Carlisle,1676178,591238,0,277107,10818.77,4351.65,0,2271.86,1308,181,0,62
2015,Municipal Electric,Coggon,406222,105420,212,40156,2560.16,675.82,4,688.22,310,40,0,5
2015,Municipal Electric,Corwith,168066,204591,0,20357,1097.45,1373.64,0,131.56,141,41,0,1
2015,Municipal Electric,Danville,430278,77641,0,102455,3792.07,748.68,0,1045.65,391,39,0,6
2015,Municipal Electric,Dayton,387332,194851,0,55564,2855.58,1657.66,0,493.39,391,65,0,12
2015,Municipal Electric,Denison,2442129,6703443,0,559177,33008.98,113731.64,0,13333.22,2657,562,0,6
2015,Municipal Electric,Denver,703846,431389,0,0,7635.35,4679.73,0,0,790,111,0,0
2015,Municipal Electric,Dike,415938,170288,0,128695,3288.32,1413.17,0,358,426,44,0,14
2015,Municipal Electric,Durant,1178445,646428,0,62107,6639.79,7239.54,0,453.83,774,135,0,50
2015,Municipal Electric,Dysart,719619,323392,0,100312,5204.9,2517.29,0,810.85,592,102,0,7
2015,Municipal Electric,Earlville,269579,154783,0,28687,2751.88,1140.59,0,308.17,362,54,0,9
2015,Municipal Electric,Eldridge,1617181,1326190,1192593,91353,20367.12,18980.89,9723.97,814.02,2195,231,0,36
2015,Municipal Electric,Ellsworth,204103,274973,0,44292,1834.71,2765.06,0,455.81,219,55,0,12
2015,Municipal Electric,Estherville,2486790,3168717,0,390643,19565.86,30414.36,0,3632.35,2687,485,0,40
2015,Municipal Electric,Farnhamville,209568,297769,0,6762,1736.22,2705.23,0,90.41,224,33,0,8
2015,Municipal Electric,Fonda,267330,184095,0,24270,2595.18,1816.44,0,344.05,318,55,0,7
2015,Municipal Electric,Fontanelle,442152,219006,0,36444,5536.65,1436.3,0,341.74,394,29,0,16
2015,Municipal Electric,Forest City,1263453,4472784,0,122758,12868.75,50238.42,0,1504.14,1725,454,0,1
2015,Municipal Electric,Fredericksburg,456078,1176927,0,82201,5289.33,11689.92,0,1196.8,470,57,0,14
2015,Municipal Electric,Glidden,581249,247542,0,59642,5342.45,2423.34,0,711.88,590,93,0,19
2015,Municipal Electric,Gowrie,385998,293210,0,40763,3603.49,3214.96,0,337.95,474,111,0,17
2015,Municipal Electric,Grafton,128595,38754,0,5557,1277.82,396.16,0,55.55,137,14,0,11
2015,Municipal Electric,Grand Junction,397114,179348,0,32685,3226.36,1420.62,0,573.42,392,69,0,17
2015,Municipal Electric,Greenfield,970940,2840229,0,98354,9074.54,31664.31,0,1297.22,1007,214,0,23
2015,Municipal Electric,Grundy Center,1222512,1074858,0,57030,11918.46,12415.42,0,651.08,1247,242,0,1
2015,Municipal Electric,Guttenberg,887935,1137618,0,99468,7584.67,8944.32,0,871.14,1079,232,0,54
